施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
西中延保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	0	0	""	11	40	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	1	1	""	4	43	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	2	2	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	3	3	""	1	42	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	4	4	""	0	32	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
旗の台保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	0	0	""	6	40	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	1	1	""	6	40	D3	""	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	2	2	""	2	40	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	3	3	""	1	42	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東大井保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	0	0	""	6	43	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	1	1	""	2	43	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	2	2	""	2	43	D25	""	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	3	3	""	2	41	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東五反田保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	0	0	""	6	41	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	1	1	""	9	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	2	2	""	3	33	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	3	3	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
東品川保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	1	1	""	14	41	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	2	2	""	2	42	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	3	3	""	3	41	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
東中延保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	0	0	""	6	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	1	1	""	9	42	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	2	2	""	1	42	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	3	3	""	1	42	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
平塚保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	0	0	""	9	40	D6	""	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	1	1	""	6	42	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	2	2	""	4	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	3	3	""	1	39	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	0	0	""	6	41	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	1	1	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	2	2	""	1	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	3	3	""	2	38	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
二葉保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	0	0	""	9	41	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	1	1	""	9	42	D5	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	2	2	""	2	39	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	3	3	""	2	41	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	4	4	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
二葉つぼみ保育園	2017	5	5	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	1	1	""	14	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	2	2	""	3	28	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	3	3	""	3	28	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木保育園	2017	5	5	""	1	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	0	0	""	5	43	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	1	1	""	7	40	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	2	2	""	3	36	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	3	3	""	1	41	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	4	4	""	0	34	D7	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
南大井保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
南ゆたか保育園	2017	0	0	""	6	40	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
南ゆたか保育園	2017	1	1	""	8	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
南ゆたか保育園	2017	2	2	""	1	40	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
南ゆたか保育園	2017	3	3	""	2	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
